rule_name,file_name,len(generated)_revised,len(reference)_revised,reviewed new_match,reviewed note,precision,recall,precision,,,,
enslaved : Person(x ) ? ed : Q410(Person)(x ),alignment_output_AgeRecordRules_1.txt,1,1,1,,,1,1,,,,
enslaved : Person(x ) ? ed : Q410(Person)(x ),alignment_output_AgeRecordRules_2.txt,1,1,1,,,1,1,,,recall > 0.5,precision >0.5
"enslaved : Person(x) ? enslaved : hasAgeRecord(x, y) ? enslaved : AgeRecord(y) ? ed : Q410(Person)(x) ? ep : P42(hasAge)(x, y) ? wikibase : Statement(y)",alignment_output_AgeRecordRules_3.txt,3,3,3,,,1,1,,,72,69
"enslaved : Person(w) ? enslaved : hasAgeRecord(w, x) ? enslaved : AgeRecord(x) ? enslaved : hasAgeValue(x, z) ? ed : Q410(Person)(w) ? ep : P42(hasAge)(w, x) ? wikibase : Statement(x) ? eps : P42(hasAge)(x, y)? ed : Q424(AgeRecord)(y) ? edt : P3(hasAgeValue)(y, z)",alignment_output_AgeRecordRules_4.txt,5,4,4,4 enslaved entities identified as benchmark,,1,0.8,,,recall > 0.75,precision >0.75
"enslaved : Person(w) ? enslaved : hasAgeRecord(w, x) ? enslaved : AgeRecord(x)? enslaved : hasValue(x, z) ? enslaved : AgeCategory(z) ? ed : Q410(Person)(w) ? ep : P42(hasAge)(w, x) ? wikibase : Statement(x) ? eps : P42(hasAge)(x, y)? ed : Q424(AgeRecord)(y) ? edt : P4(hasAgeCategory)(y, z) ? ed : Q412(AgeCategory)(z)",alignment_output_AgeRecordRules_5.txt,6,5,5,6 is generated but 5 is correct so recall is 1 but precision is not complete,,1,0.83,,,51,43
"enslaved : Person(w) ? enslaved : hasAgeRecord(w, x) ? enslaved : AgeRecord(x)? enslaved : hasValue(x, z) ? enslaved : AgeCategory(z) ? ed : Q410(Person)(w) ? ep : P42(hasAge)(w, x) ? wikibase : Statement(x) ? eps : P42(hasAge)(x, y)? ed : Q424(AgeRecord)(y) ? edt : P4(hasAgeCategory)(y, z) ? ed : Q412(AgeCategory)(z)",alignment_output_AgeRecordRules_6.txt,5,5,5,Didn't mentioned AgeRecord directly but instead provided AgentRecord and also mentioned: `AgeRecord` is a subclass of `AgentRecord`,,1,1,,,recall==`1,precision ==1
"enslaved : Person(w) ? enslaved : hasAgeRecord(w, x) ? enslaved : AgeRecord(x)? enslaved : hasValue(x, z) ? enslaved : AgeCategory(z) ? ed : Q410(Person)(w) ? ep : P42(hasAge)(w, x) ? wikibase : Statement(x) ? eps : P42(hasAge)(x, y)? ed : Q424(AgeRecord)(y) ? edt : P4(hasAgeCategory)(y, z) ? ed : Q412(AgeCategory)(z)",alignment_output_AgeRecordRules_7.txt,5,5,5,,,1,1,,,37,33
"enslaved : Person(x) ? enslaved : hasAgeRecord(x, y) ? enslaved : AgeRecord(y)? enslaved : recordedAt(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P42(hasAge)(x, y) ? wikibase : Statement(y) ? epq : P18(recordedAt)(y, z)? ed : Q238(Event)(z)",alignment_output_AgeRecordRules_8.txt,5,6,5,"missed enslaved : withID(y, z)",,0.83,1,,,,
enslaved : SexTypes(x) ? ed : Q291(Sex)(x),alignment_output_SexRecordRules_1.txt,1,1,1,,,1,1,,,,
"enslaved : Person(x) ? enslaved : hasSexRecord(x, y) ? enslaved : SexRecord(y)? enslaved : hasValue(y, z) ? enslaved : SexTypes(z) ? ed : Q410(Person)(x) ? ep : P31(hasSex)(x, y) ? wikibase : Statement(y)? eps : P31(hasSex)(y, z) ? ed : Q291(Sex)(z)",alignment_output_SexRecordRules_2.txt,3,3,2,,,0.67,0.67,,,,
