AgeRecordRules,SexRecordRules,NameRecordRules,PersonStatusRecordRules,ParticipantRoleRecordRules,OccupationRecordRules,RaceRecordRules,InterAgentRelationshipRecordRules,OriginRecordRules,ResearchProjectRules,PlaceRules,EventRules,EntityWithProvenanceRules
enslaved : Person(x ) ? ed : Q410(Person)(x ),enslaved : SexTypes(x) ? ed : Q291(Sex)(x),"enslaved : Person(x) ? enslaved : hasNameRecord(x, y) ? enslaved : NameRecord(y) ? ed : Q410(Person)(x) ? ep : P20(hasName)(x, y) ? wikibase : Statement(y)",enslaved : PSCategories(x) ? ed : Q375(PersonStatus)(x),enslaved : ParticipantRoleTypes(x) ? ed : Q316(RoleinaLifeEvent)(x),enslaved : Occupations(x) ? ed : Q108(Occupation)(x),"enslaved : Person(x) ? enslaved : hasRaceRecord(x, y) ? enslaved : RaceRecord(y) ? ed : Q410(Person)(x) ? ep : P32(hasRaceorColor)(x, y) ? wikibase : Statement(y)",enslaved : InterAgentRelationshipTypes(x) ? ed : Q463(InteragentRelationship)(x),enslaved : ECVO(x) ? ed : Q298(EthnolinguisticDescriptor)(x),enslaved : ResearchProject(x) ? ed : Q172(ResearchProject)(x),enslaved : Place(x) ? ed : Q301(Place)(x),enslaved : Event(x) ? ed : Q238(Event)(x),enslaved : EntityWithProvenance(x) ? ed : Q67(EntitywithProveance)
enslaved : AgeCategory(x) ? ed : Q412(AgeCategory)(x),"enslaved : Person(x) ? enslaved : hasSexRecord(x, y) ? enslaved : SexRecord(y) ? ed : Q410(Person)(x) ? ep : P31(hasSex)(x, y) ? wikibase : Statement(y)","enslaved : Person(x) ? enslaved : hasNameRecord(x, y) ? enslaved : NameRecord(y) ? ed : Q410(Person)(x) ? ep : P71(hasAlternateName)(x, y) ? wikibase : Statement(y)","enslaved : Person(x) ? enslaved : hasPersonStatusRecord(x, y) ? enslaved : PersonStatusRecord(y) ? ed : Q410(Person)(x) ? ep : P33(hasPersonStatus)(x, y) ? wikibase : Statement(y)","enslaved : Person(x) ? enslaved : hasParticipantRoleRecord(x, y) ? enslaved : ParticipantRoleRecord(y) ? ed : Q410(Person)(x) ? ep : P17(hasParticipantRole)(x, y) ? wikibase : Statement(y)","enslaved : Person(x) ? enslaved : hasOccupationRecord(x, y) ? enslaved : OccupationRecord(y) ? ed : Q410(Person)(x) ? ep : P22(hasOccupation)(x, y) ? wikibase : Statement(y)","enslaved : Person(x) ? enslaved : hasRaceRecord(x, y) ? enslaved : RaceRecord(y) ? enslaved : asText(y, z) ? ed : Q410(Person)(x) ? ep : P32(hasRaceorColor)(x, y) ? wikibase : Statement(y) ? eps : P32(hasRaceorColor)(y, z)","enslaved : Person(x) ? enslaved : hasInterAgentRelationshipRecord(x, y) ? enslaved : InterAgentRelationshipRecord(y) ? ed : Q410(Person)(x) ? ep : P39(hasInterAgentRelationshipTypeTo)(x, y) ? wikibase : Statement(y)","enslaved : Person(x) ? enslaved : hasOriginRecord(x, y) ? enslaved : OriginRecord(y) ? ed : Q410(Person)(x) ? ep : P46(hasEthnolinguisticDescriptor)(x, y) ? wikibase : Statement(y)","enslaved : ResearchProject(x) ? enslaved : hasName(x, z) ? ed : Q172(ResearchProject)(x) ? ep : P20(hasName)(x, y)? wikibase : Statement(y) ? eps : P20(hasName)(y, z)",enslaved : PlaceCV(x) ? ed : Q303403(PlaceName)(x),enslaved : EventTypes(x) ? ed : Q282(EventType)(x),"enslaved : EntityWithProvenance(x) ? enslaved : reportsOn(x, z) ? enslaved : Event(z) ? ed : Q67(EntitywithProvenance)(x) ? ep : P25(reportsOn)(x, y) ? wikibase : Statement(y)? eps : P25(reportsOn)(y, z) ? ed : Q238(Event)(z)"
"enslaved : Person(x) ? enslaved : hasAgeRecord(x, y) ? enslaved : AgeRecord(y) ? ed : Q410(Person)(x) ? ep : P42(hasAge)(x, y) ? wikibase : Statement(y)","enslaved : Person(x) ? enslaved : hasSexRecord(x, y) ? enslaved : SexRecord(y)? enslaved : hasValue(y, z) ? enslaved : SexTypes(z) ? ed : Q410(Person)(x) ? ep : P31(hasSex)(x, y) ? wikibase : Statement(y)? eps : P31(hasSex)(y, z) ? ed : Q291(Sex)(z)","enslaved : Person(x) ? enslaved : hasNameRecord(x, y) ? enslaved : NameRecord(y) ? ed : Q410(Person)(x) ? ep : P72(hasSurname)(x, y) ? wikibase : Statement(y)","enslaved : Person(x) ? enslaved : hasPersonStatusRecord(x, y) ? enslaved : PersonStatusRecord(y)? enslaved : hasValue(y, z) ? enslaved : PSCategories(z) ? ed : Q410(Person)(x) ? ep : P33(hasPersonStatus)(x, y) ? wikibase : Statement(y)? eps : P33(hasPersonStatus)(y, z) ? ed : Q375(PersonStatus)(z)","enslaved : Person(x) ? enslaved : hasParticipantRoleRecord(x, y) ? enslaved : ParticipantRoleRecord(y)? enslaved : hasParticipantRoleType(y, z) ? enslaved : ParticipantRoleTypes(z) ? ed : Q410(Person)(x) ? ep : P17(hasParticipantRole)(x, y) ? wikibase : Statement(y)? eps : P17(hasParticipantRole)(y, z) ? ed : Q316(RoleinaLifeEvent)(z)","enslaved : Person(x) ? enslaved : hasOccupationRecord(x, y) ? enslaved : OccupationRecord(y)? enslaved : hasValue(y, z) ? enslaved : Occupations(z) ? ed : Q410(Person)(x) ? ep : P22(hasOccupation)(x, y) ? wikibase : Statement(y)? eps : P22(hasOccupation)(y, z) ? ed : Q108(Occupation)(z)","enslaved : Person(x) ? enslaved : hasRaceRecord(x, y) ? enslaved : RaceRecord(y) ? enslaved : recordedAt(y, z)? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P32(hasRaceorColor)(x, y)? wikibase : Statement(y) ? epq : P18(recordedAt)(y, z) ? ed : Q238(Event)(z)","enslaved : Person(x) ? enslaved : hasInterAgentRelationshipRecord(x, y) ? enslaved : InterAgentRelationshipRecord(y)? enslaved : hasInterAgentRelationshipType(y, z) ? enslaved : InterAgentRelationshipTypes(z) ? ed : Q410(Person)(x) ? ep : P39(hasInterAgentRelationshipTypeTo)(x, y) ? wikibase : Statement(y)? eps : P39(hasInterAgentRelationshipTypeTo)(y, z) ? ed : Q463(InteragentRelationship)(z)","enslaved : Person(x) ? enslaved : hasOriginRecord(x, y) ? enslaved : OriginRecord(y)? enslaved : hasECVO(y, z) ? enslaved : ECVO(z) ? ed : Q410(Person)(x) ? ep : P46(hasEthnolinguisticDescriptor)(x, y) ? wikibase : Statement(y)? eps : P46(hasEthnolinguisticDescriptor)(y, z) ? ed : Q298(EthnolinguisticDescriptor)(z)","enslaved : ResearchProject(x) ? enslaved : hasExternalReference(x, y)? enslaved : ExternalReference(y) ? enslaved : refersTo(y, z) ? ed : Q172(ResearchProject)(x) ? ep : P12(hasLink)(x, y)? wikibase : Statement(y) ? eps : P12(hasLink)(y, z)",enslaved : PlaceTypeCV (x) ? ed : Q205(ControlledVocabularyforPlaceType)(x),"enslaved : Event(x) ? enslaved : atPlace(x, z) ? enslaved : Place(z) ? ed : Q238(Event)(x) ? ep : P27(atPlace)(x, y) ? wikibase : Statement(y)? eps : P27(atPlace)(y, z) ? ed : Q301(Place)(z)","enslaved : EntityWithProvenance(x) ? enslaved : generatedBy(x, z) ? enslaved : ResearchProject(z) ? ed : Q67(EntitywithProvenance)(x) ? ep : P16(generatedBy)(x, y) ? wikibase : Statement(y)? eps : P16(generatedBy)(y, z) ? ed : Q172(ResearchProject)(z)"
"enslaved : Person(w) ? enslaved : hasAgeRecord(w, x) ? enslaved : AgeRecord(x) ? enslaved : hasAgeValue(x, z) ? ed : Q410(Person)(w) ? ep : P42(hasAge)(w, x) ? wikibase : Statement(x) ? eps : P42(hasAge)(x, y)? ed : Q424(AgeRecord)(y) ? edt : P3(hasAgeValue)(y, z)","enslaved : Person(x) ? enslaved : hasSexRecord(x, y) ? enslaved : SexRecord(y)? enslaved : recordedAt(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P31(hasSex)(x, y) ? wikibase : Statement(y)? epq : P18(recordedAt)(y, z) ? ed : Q238(Event)(z)","enslaved : Person(x) ? enslaved : hasNameRecord(x, y) ? enslaved : NameRecord(y) ? ed : Q410(Person)(x) ? ep : P73(hasFirstName)(x, y) ? wikibase : Statement(y)","enslaved : Person(x) ? enslaved : hasPersonStatusRecord(x, y) ? enslaved : PersonStatusRecord(y)? enslaved : hasStatusGeneratedEvent(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P33(hasPersonStatus)(x, y) ? wikibase : Statement(y)? epq : P34(hasStatusGeneratingEvent)(y, z) ? ed : Q238(Event)(z)","enslaved : Person(x) ? enslaved : hasParticipantRoleRecord(x, y) ? enslaved : ParticipantRoleRecord(y)? enslaved : recordedAt(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P17(hasParticipantRole)(x, y) ? wikibase : Statement(y)? epq : P18(recordedAt)(y, z) ? ed : Q238(Event)(z)","enslaved : Person(x) ? enslaved : hasOccupationRecord(x, y) ? enslaved : OccupationRecord(y)? enslaved : recordedAt(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P22(hasOccupation)(x, y) ? wikibase : Statement(y)? epq : P18(recordedAt)(y, z) ? ed : Q238(Event)(z)","enslaved : Person(w) ? enslaved : hasRaceRecord(w, x) ? enslaved : RaceRecord(x)? enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? ed : Q410(Person)(w) ? ep : P32(hasRaceorColor)(w, x) ? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P6(isDirectlyBasedOn)(y, z) ? ed : Q67(EnityWithProvenance)(z)","enslaved : Person(x) ? enslaved : isRelationshipFrom(y, x) ? enslaved : InterAgentRelationshipRecord(y)? enslaved : isRelationshipTo(y, z) ? enslaved : Person(z) ? Q410(Person)(x) ? ep : P39(hasInterAgentRelationshipTypeTo)(x, y) ? wikibase : Statement(y)? epq : P40(isRelationshipTo)(y, z) ? ed : Q410(Person)(z)","enslaved : Person(x) ? enslaved : hasOriginRecord(x, y) ? enslaved : OriginRecord(y)? enslaved : refersToPlaceOfOrigin(y, z) ? enslaved : Place(z) ? ed : Q410(Person)(x) ? ep : P46(hasEthnolinguisticDescriptor)(x, y) ? wikibase : Statement(y)? epq : P47(referstoPlaceofOrigin)(y, z) ? ed : Q301(Place)(z)",,"enslaved : Place(x) ? enslaved : hasPlaceTypeCV (x, z) ? enslaved : PlaceTypeCV (z) ? ed : Q301(Place)(x) ? ep : P8(hasPlaceType)(x, y) ? wikibase : Statement(y)? eps : P8(hasPlaceType)(y, z) ? ed : Q205(controlledvocabularyforPlaceType)(z)","enslaved : Event(x) ? enslaved : hasEventType(x, z) ? enslaved : EventTypes(z) ? ed : Q238(Event)(x) ? ep : P30(hasEventType)(x, y) ? wikibase : Statement(y)? eps : P30(hasEventType)(y, z) ? ed : Q282(EventType)(z)","enslaved : EntityWithProvenance(x) ? enslaved : hasLicenseInformation(x, z) ? enslaved : LicenseInformation(z) ? ed : Q67(EntitywithProvenance)(x) ? ep : P15(hasLicenseInfo)(x, y) ? wikibase : Statement(y)? eps : P15(hasLicenseInfo)(y, z) ? ed : Q433(LicenseInformation)(z)"
"enslaved : Person(w) ? enslaved : hasAgeRecord(w, x) ? enslaved : AgeRecord(x)? enslaved : hasValue(x, z) ? enslaved : AgeCategory(z) ? ed : Q410(Person)(w) ? ep : P42(hasAge)(w, x) ? wikibase : Statement(x) ? eps : P42(hasAge)(x, y)? ed : Q424(AgeRecord)(y) ? edt : P4(hasAgeCategory)(y, z) ? ed : Q412(AgeCategory)(z)","enslaved : Person(w) ? enslaved : hasSexRecord(w, x) ? enslaved : SexRecord(x)? enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? ed : Q410(Person)(w) ? ep : P31(hasSex)(w, x) ? wikibase : Statement(x)? prov : wasDerivedFrom(x, y) ? wikibase : Reference(y)? epr : P6(isDirectlyBasedOn)(y, z) ? ed : Q67(EnityWithProvenance)(z)","enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : hasPreferredNameVariant(x, y) ? enslaved : NameVariant(y) ? enslaved : fullNameAsString(y, z) ? ed : Q410(Person)(w) ? ep : P20(hasName)(w, x) ? wikibase : Statement(x) ? eps : P20(hasName)(x, z)","enslaved : Person(x) ? enslaved : hasPersonStatusRecord(x, y) ? enslaved : PersonStatusRecord(y)? enslaved : recordedAt(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P33(hasPersonStatus)(x, y) ? wikibase : Statement(y)? epq : P18(recordedAt)(y, z) ? ed : Q238(Event)(z)","enslaved : Person(x) ? enslaved : hasParticipantRoleRecord(x, y) ? enslaved : ParticipantRoleRecord(y)? enslaved : roleProvidedBy(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P17(hasParticipantRole)(x, y) ? wikibase : Statement(y)? epq : P19(roleProvidedBy)(y, z) ? ed : Q238(Event)(z)","enslaved : Person(w) ? enslaved : hasOccupationRecord(w, x) ? enslaved : OccupationRecord(x)?
enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? ed : Q410(Person)(w) ? ep : P22(hasOccupation)(w, x) ? wikibase : Statement(x)?
prov : wasDerivedFrom(x, y) ? wikibase : Reference(y) ? epr : P6(isDirectlyBasedOn)(y, z)?
ed : Q67(EnityWithProvenance)(z)","enslaved : Person(w) ? enslaved : hasRaceRecord(w, x) ? enslaved : RaceRecord(x)? enslaved : hasExternalReference(x, y) ? enslaved : ExternalReference(y) ? enslaved : withID(y, z) ? ed : Q410(Person)(w) ? ep : P32(hasRaceorColor)(w, x) ? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P21(hasExternalReference)(y, z)","enslaved : Person(x) ? enslaved : hasInterAgentRelationshipRecord(x, y) ? enslaved : InterAgentRelationshipRecord(y)? enslaved : recordedAt(y, z) ? enslaved : Event(z) ? Q410(Person)(x) ? ep : P39(hasInterAgentRelationshipTypeTo)(x, y) ? wikibase : Statement(y)? epq : P18(recordedAt)(y, z) ? ed : Q238(Event)(z)","enslaved : Person(x) ? enslaved : hasOriginRecord(x, y) ? enslaved : OriginRecord(y)? enslaved : recordedAt(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P46(hasEthnolinguisticDescriptor)(x, y) ? wikibase : Statement(y)? epq : P18(recordedAt)(y, z) ? ed : Q238(Event)(z)",,"enslaved : Place(x) ? enslaved : hasName(x, z) ? ed : Q301(Place)(x) ? ep : P20(hasName)(x, y) ? wikibase : Statement(y) ? eps : P20(hasName)(y, z)","enslaved : Event(x) ? enslaved : hasName(x, z) ? ed : Q238(Event)(x) ? ep : P20(hasName)(x, y) ? wikibase : Statement(y) ? eps : P20(hasName)(y, z)","enslaved : EntityWithProvenance(x) ? enslaved : availableFrom(x, z) ? ed : Q67(EntitywithProvenance)(x) ? ep : P26(availableFrom)(x, y) ? wikibase : Statement(y)? eps : P26(availableFrom)(y, z)"
"enslaved : Person(x) ? enslaved : hasAgeRecord(x, y) ? enslaved : AgeRecord(y)? enslaved : recordedAt(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P42(hasAge)(x, y) ? wikibase : Statement(y) ? epq : P18(recordedAt)(y, z)? ed : Q238(Event)(z)","enslaved : Person(w) ? enslaved : hasSexRecord(w, x) ? enslaved : SexRecord(x)? enslaved : hasExternalReference(x, y) ? enslaved : ExternalReference(y) ? enslaved : withID(y, z) ? ed : Q410(Person)(w) ? ep : P31(hasSex)(w, x) ? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P21(hasExternalReference)(y, z)","enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : hasPreferredNameVariant(x, y) ? enslaved : NameVariant(y) ? enslaved : hasSurnameAsString(y, z) ? ed : Q410(Person)(w) ? ep : P72(hasSurnName)(w, x) ? wikibase : Statement(x) ? eps : P72(hasSurname)(x, z)","enslaved : Person(w) ? enslaved : hasPersonStatusRecord(w, x) ? enslaved : PersonStatusRecord(x)? enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? ed : Q410(Person)(w) ? ep : P33(hasPersonStatus)(w, x) ? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P6(isDirectlyBasedOn)(y, z) ? ed : Q67(EnityWithProvenance)(z)","enslaved : Person(w) ? enslaved : hasParticipantRoleRecord(w, x) ? enslaved : ParticipantRoleRecord(x)? enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? ed : Q410(Person)(w) ? ep : P17(hasParticipantRole)(w, x) ? wikibase : Statement(x)? prov : wasDerivedFrom(x, y) ? wikibase : Reference(y) ? epr : P6(isDirectlyBasedOn)(y, z)? ed : Q67(EnityWithProvenance)(z)","enslaved : Person(w) ? enslaved : hasOccupationRecord(w, x) ? enslaved : OccupationRecord(x)? enslaved : hasExternalReference(x, y) ? enslaved : ExternalReference(y) ? enslaved : withID(y, z) ? ed : Q410(Person)(w) ? ep : P22(hasOccupation)(w, x) ? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P21(hasExternalReference)(y, z)",,"enslaved : Person(w) ? enslaved : hasInterAgentRelationshipRecord(w, x) ? enslaved : InterAgentRelationshipRecord(x)? enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? Q410(Person)(w) ? ep : P39(hasInterAgentRelationshipTypeTo)(w, x) ? wikibase : Statement(x)? prov : wasDerivedFrom(x, y) ? wikibase : Reference(y)? epr : P6(isDirectlyBasedOn)(y, z) ? ed : Q67(EntityWithProvenance)(z)","enslaved : Person(w) ? enslaved : hasOriginRecord(w, x) ? enslaved : OriginRecord(x)? enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? ed : Q410(Person)(w) ? ep : P46(hasEthnolinguisticDescriptor)(w, x) ? wikibase : Statement(x)? prov : wasDerivedFrom(x, y) ? wikibase : Reference(y) ? epr : P6(isDirectlyBasedOn)(y, z)? ed : Q67(EntityWithProvenance)(z)",,"enslaved : Place(x) ? enslaved : hasAlternateName(x, z) ? ed : Q301(Place)(x) ? ep : P71(hasAlternateName)(x, y) ? wikibase : Statement(y) ? eps : P71(hasAlternateName)(y, z)","enslaved : Event(x) ? enslaved : hasTemporalExtent(x, y) ? enslaved : TemporalExtent(y) ? enslaved : contains(y, z) ? ed : Q238(Event)(x) ? ep : P28(date)(x, y) ? wikibase : Statement(y) ? eps : P28(date)(y, z)","enslaved : EntityWithProvenance(x) ? enslaved : hasOriginalSourceType(x, z) ? enslaved : DocumentTypes(z) ? ed : Q67(EntitywithProvenance)(x) ? ep : P23(hasOriginalSourceType)(x, y) ? wikibase : Statement(y)? eps : P23(hasOriginalSourceType)(y, z) ? ed : Q122(DocumentType)(z)"
"enslaved : Person(w) ? enslaved : hasAgeRecord(w, x) ? enslaved : AgeRecord(x)? enslaved : isDirectlyBasedOn(x, z) ? enslaved : EntityWithProvenance(z) ? ed : Q410(Person)(w) ? ep : P42(hasAge)(w, x) ? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P6(isDirectlyBasedOn)(y, z) ? ed : Q67(EnityWithProvenance)(z)",,"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : hasPreferredNameVariant(x, y) ? enslaved : NameVariant(y) ? enslaved : hasFirstNameAsString(y, z) ? ed : Q410(Person)(w) ? ep : P73(hasFirstName)(w, x) ? wikibase : Statement(x) ? eps : P73(hasFirstName)(x, z)","enslaved : Person(w) ? enslaved : hasPersonStatusRecord(w, x) ? enslaved : PersonStatusRecord(x)? enslaved : hasExternalReference(x, y) ? enslaved : ExternalReference(y) ? enslaved : withID(y, z) ? ed : Q410(Person)(w) ? ep : P33(hasPersonStatus)(w, x) ? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P21(hasExternalReference)(y, z)","enslaved : Person(w) ? enslaved : hasParticipantRoleRecord(w, x) ? enslaved : ParticipantRoleRecord(x)? enslaved : hasExternalReference(x, y) ? enslaved : ExternalReference(y) ? enslaved : withID(y, z) ? ed : Q410(Person)(w) ? ep : P17(hasParticipantRole)(w, x) ? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P21(hasExternalReference)(y, z)",,,"enslaved : Person(w) ? enslaved : hasInterAgentRelationshipRecord(w, x) ? enslaved : InterAgentRelationshipRecord(x)? enslaved : hasExternalReference(x, y) ? enslaved : ExternalReference(y) ? enslaved : withID(y, z) ? Q410(Person)(w) ? ep : P39(hasInterAgentRelationshipTypeTo)(w, x)? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P21(hasExternalReference)(y, z)","enslaved : Person(w) ? enslaved : hasOriginRecord(w, x) ? enslaved : OriginRecord(x)? enslaved : hasExternalReference(x, y) ? enslaved : ExternalReference(y) ? enslaved : withID(y, z) ? ed : Q410(Person)(w) ? ep : P46(hasEthnolinguisticDescriptor)(w, x) ? wikibase : Statement(x)? prov : wasDerivedFrom(x, y) ? wikibase : Reference(y) ? epr : P21(hasExternalReference)(y, z)",,"enslaved : Place(x) ? enslaved : hasCoordinates(x, z) ? ed : Q301(Place)(x) ? ep : P59(hasCoordinates)(x, y) ? wikibase : Statement(y) ? eps : P59(hasCoordinates)(y, z)",,"enslaved : EntityWithProvenance(x) ? enslaved : hasTemporalExtent(x, y)? enslaved : TemporalExtent(y) ? enslaved : endsAt(y, z) ? ed : Q67(EntitywithProvenance)(x) ? ep : P63(endsAt)(x, y) ? wikibase : Statement(y)? eps : P63(endsAt)(y, z)"
"enslaved : Person(w) ? enslaved : hasAgeRecord(w, x) ? enslaved : AgeRecord(x)? enslaved : hasExternalReference(x, y) ? enslaved : ExternalReference(y) ? enslaved : withID(y, z) ? ed : Q410(Person)(w) ? ep : P42(hasAge)(w, x) ? wikibase : Statement(x) ? prov : wasDerivedFrom(x, y)? wikibase : Reference(y) ? epr : P21(hasExternalReference)(y, z)",,"enslaved : Person(w) ? enslaved : hasNameRecord(w, x) ? enslaved : NameRecord(x)? enslaved : hasNameVariant(x, y) ? enslaved : NameVariant(y) ? enslaved : fullNameAsString(y, z) ? ed : Q410(Person)(w) ? ep : P71(hasAlternateName)(w, x) ? wikibase : Statement(x) ? eps : P71(hasAlternateName)(x, z)",,,,,,,,"enslaved : Place(x) ? enslaved : hasBroader(x, z) ? enslaved : PlaceCV(z) ? ed : Q303403(PlaceName)(z) ? ep : P74(isBroader)(z, y)? wikibase : Statement(y) ? eps : P74(isBroader)(y, x) ? ed : Q301(Place)(x)",,
,,"enslaved : Person(x) ? enslaved : hasNameRecord(x, y) ? enslaved : NameRecord(y)? enslaved : recordedAt(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P20(hasName)(x, y) ? wikibase : Statement(y)? epq : P18(recordedAt)(y, z) ? ed : Q238(Event)(z)",,,,,,,,"enslaved : PlaceCV(x) ? enslaved : isSpatiallyLocatedIn(x, z) ? enslaved : PlaceCV(z) ? ed : Q303403(PlaceName)(x) ? ep : P7(locatedIn)(x, y)? wikibase : Statement(y) ? eps : P7(locatedIn)(y, z) ? ed : Q303403(PlaceName)(z)",,
,,"enslaved : Person(x) ? enslaved : hasNameRecord(x, y) ? enslaved : NameRecord(y)? enslaved : recordedAt(y, z) ? enslaved : Event(z) ? ed : Q410(Person)(x) ? ep : P71(hasAlternateName)(x, y) ? wikibase : Statement(y)? epq : P18(recordedAt)(y, z) ? ed : Q238(Event)(z)",,,,,,,,,,
